TargetQuarter,FirstReleaseDate,TargetVintageStart,PriorVintageStart,FirstReleaseTargetGDP,FirstReleasePriorGDP,FirstReleaseGDPGrowth,LatestTargetGDP,LatestPriorGDP,LatestGDPGrowth,TargetLevelRevision,GDPGrowthRevision,V1RevisedGDP,V1RevisedGDPGrowth,FirstReleaseVsV1GDPDifference,FirstReleaseVsV1GDPGrowthDifference
2000-01-01,2000-04-27,2000-04-27,2000-03-30,9156.6,9037.2,5.25021553183104,13878.147,13827.98,1.44854760322063,4721.547,-3.80166792861041,13878.147,1.44854760322062,-4721.547,3.80166792861042
2000-04-01,2000-07-28,2000-07-28,2000-07-28,9308.8,9191.8,5.05936282379176,14130.908,13878.147,7.21960413799175,4822.108,2.16024131419999,14130.908,7.21960413799181,-4822.108,-2.16024131420005
2000-07-01,2000-10-27,2000-10-27,2000-09-28,9382.2,9318.9,2.70787244581711,14145.312,14130.908,0.407522681487304,4763.112,-2.3003497643298,14145.312,0.407522681486938,-4763.112,2.30034976433017
2000-10-01,2001-01-31,2001-01-31,2000-12-21,9401.5,9369.5,1.36380719192347,14229.765,14145.312,2.38105431395558,4828.265,1.01724712203212,14229.765,2.3810543139561,-4828.265,-1.01724712203263
2001-01-01,2001-04-27,2001-04-27,2001-03-29,9439.9,9393.7,1.96245402557485,14183.12,14229.765,-1.31334897965699,4743.22,-3.27580300523184,14183.12,-1.31334897965729,-4743.22,3.27580300523214
2001-04-01,2001-07-27,2001-07-27,2001-07-27,9351.6,9334.5,0.732095184053365,14271.694,14183.12,2.49024396590853,4920.094,1.75814878185516,14271.694,2.49024396590869,-4920.094,-1.75814878185532
2001-07-01,2001-10-31,2001-10-31,2001-09-28,9333.4,9341.7,-0.355553675064528,14214.516,14271.694,-1.60577561672694,4881.116,-1.25022194166241,14214.516,-1.6057756167271,-4881.116,1.25022194166257
2001-10-01,2002-01-30,2002-01-30,2001-12-21,9315.6,9310.4,0.223343718891807,14253.574,14214.516,1.09759452094291,4937.974,0.874250802051106,14253.574,1.09759452094309,-4937.974,-0.874250802051283
2002-01-01,2002-04-26,2002-04-26,2002-03-28,9482.1,9348.6,5.67168450133493,14372.785,14253.574,3.33152222755854,4890.685,-2.34016227377639,14372.785,3.33152222755828,-4890.685,2.34016227377665
2002-04-01,2002-07-31,2002-07-31,2002-07-31,9387.9,9363.2,1.05380545295768,14460.848,14372.785,2.44334867738804,5072.948,1.38954322443036,14460.848,2.443348677388,-5072.948,-1.38954322443032
