TargetQuarter,OriginRule,ForecastOrigin,InformationSetComplete,GDPGrowth_L1,Inflation_L1,Unemployment_L1,InterestRate_L1,TargetGDPGrowthFirstRelease,TargetFirstReleaseDate,TargetVintageStart,PriorGDPVintageStart
2000-01-01,primary-early-quarter,2000-02-14,1,5.6361272724344,2.8594244087088,4.1,5.30666666666667,5.25021553183104,2000-04-27,2000-04-27,2000-03-30
2000-01-01,strict-quarter-start,1999-12-31,0,NaN,NaN,NaN,NaN,5.25021553183104,2000-04-27,2000-04-27,2000-03-30
2000-04-01,primary-early-quarter,2000-05-15,1,5.25021553183104,3.93859030882512,4.06666666666667,5.67666666666667,5.05936282379176,2000-07-28,2000-07-28,2000-07-28
2000-04-01,strict-quarter-start,2000-03-31,0,NaN,NaN,NaN,NaN,5.05936282379176,2000-07-28,2000-07-28,2000-07-28
2000-07-01,primary-early-quarter,2000-08-14,1,5.05936282379176,3.51187506081831,4,6.27333333333333,2.70787244581711,2000-10-27,2000-10-27,2000-09-28
2000-07-01,strict-quarter-start,2000-06-30,0,NaN,NaN,NaN,NaN,2.70787244581711,2000-10-27,2000-10-27,2000-09-28
2000-10-01,primary-early-quarter,2000-11-14,1,2.70787244581711,3.01654721721572,4,6.52,1.36380719192347,2001-01-31,2001-01-31,2000-12-21
2000-10-01,strict-quarter-start,2000-09-30,0,NaN,NaN,NaN,NaN,1.36380719192347,2001-01-31,2001-01-31,2000-12-21
2001-01-01,primary-early-quarter,2001-02-14,1,1.36380719192347,2.68792410133158,3.96666666666667,6.47333333333333,1.96245402557485,2001-04-27,2001-04-27,2001-03-29
2001-01-01,strict-quarter-start,2000-12-31,0,NaN,NaN,NaN,NaN,1.96245402557485,2001-04-27,2001-04-27,2001-03-29
2001-04-01,primary-early-quarter,2001-05-15,1,1.96245402557485,4.110407245186,4.23333333333333,5.59333333333333,0.732095184053365,2001-07-27,2001-07-27,2001-07-27
2001-04-01,strict-quarter-start,2001-03-31,0,NaN,NaN,NaN,NaN,0.732095184053365,2001-07-27,2001-07-27,2001-07-27
2001-07-01,primary-early-quarter,2001-08-14,1,0.732095184053365,3.01774347222271,4.46666666666667,4.32666666666667,-0.355553675064528,2001-10-31,2001-10-31,2001-09-28
2001-07-01,strict-quarter-start,2001-06-30,0,NaN,NaN,NaN,NaN,-0.355553675064528,2001-10-31,2001-10-31,2001-09-28
2001-10-01,primary-early-quarter,2001-11-14,1,-0.355553675064528,0.675866114050492,4.76666666666667,3.49666666666667,0.223343718891807,2002-01-30,2002-01-30,2001-12-21
2001-10-01,strict-quarter-start,2001-09-30,0,NaN,NaN,NaN,NaN,0.223343718891807,2002-01-30,2002-01-30,2001-12-21
2002-01-01,primary-early-quarter,2002-02-14,1,0.223343718891807,-0.450450498053965,5.6,2.13333333333333,5.67168450133493,2002-04-26,2002-04-26,2002-03-28
2002-01-01,strict-quarter-start,2001-12-31,0,NaN,NaN,NaN,NaN,5.67168450133493,2002-04-26,2002-04-26,2002-03-28
2002-04-01,primary-early-quarter,2002-05-15,1,5.67168450133493,1.35008566196155,5.6,1.73333333333333,1.05380545295768,2002-07-31,2002-07-31,2002-07-31
2002-04-01,strict-quarter-start,2002-03-31,0,NaN,NaN,NaN,NaN,1.05380545295768,2002-07-31,2002-07-31,2002-07-31
2002-07-01,primary-early-quarter,2002-08-14,1,1.05380545295768,3.35541160425107,5.9,1.75,3.08842532084142,2002-10-31,2002-10-31,2002-09-27
2002-07-01,strict-quarter-start,2002-06-30,0,NaN,NaN,NaN,NaN,3.08842532084142,2002-10-31,2002-10-31,2002-09-27
2002-10-01,primary-early-quarter,2002-11-14,1,3.08842532084142,1.85202664405791,5.73333333333333,1.74,0.741489932587696,2003-01-30,2003-01-30,2002-12-20
2002-10-01,strict-quarter-start,2002-09-30,0,NaN,NaN,NaN,NaN,0.741489932587696,2003-01-30,2003-01-30,2002-12-20
2003-01-01,primary-early-quarter,2003-02-14,1,0.741489932587696,2.35814979227119,5.9,1.44333333333333,1.58538966703662,2003-04-25,2003-04-25,2003-03-27
