SeriesID,ObservationDate,RealtimeStart,RealtimeEnd,Value
CPIAUCSL,1947-01-01,1994-02-17,9999-12-31,21.48
CPIAUCSL,1947-02-01,1994-02-17,9999-12-31,21.62
CPIAUCSL,1947-03-01,1994-02-17,9999-12-31,22
CPIAUCSL,1947-04-01,1994-02-17,9999-12-31,22
CPIAUCSL,1947-05-01,1994-02-17,9999-12-31,21.95
CPIAUCSL,1947-06-01,1994-02-17,9999-12-31,22.08
CPIAUCSL,1947-07-01,1994-02-17,9999-12-31,22.23
CPIAUCSL,1947-08-01,1994-02-17,9999-12-31,22.4
CPIAUCSL,1947-09-01,1994-02-17,9999-12-31,22.84
CPIAUCSL,1947-10-01,1994-02-17,9999-12-31,22.91
CPIAUCSL,1947-11-01,1994-02-17,9999-12-31,23.06
CPIAUCSL,1947-12-01,1994-02-17,9999-12-31,23.41
CPIAUCSL,1948-01-01,1994-02-17,9999-12-31,23.68
CPIAUCSL,1948-02-01,1994-02-17,9999-12-31,23.67
CPIAUCSL,1948-03-01,1994-02-17,9999-12-31,23.5
CPIAUCSL,1948-04-01,1994-02-17,9999-12-31,23.82
CPIAUCSL,1948-05-01,1994-02-17,9999-12-31,24.01
CPIAUCSL,1948-06-01,1994-02-17,9999-12-31,24.15
CPIAUCSL,1948-07-01,1994-02-17,9999-12-31,24.4
CPIAUCSL,1948-08-01,1994-02-17,9999-12-31,24.43
CPIAUCSL,1948-09-01,1994-02-17,9999-12-31,24.36
CPIAUCSL,1948-10-01,1994-02-17,9999-12-31,24.31
CPIAUCSL,1948-11-01,1994-02-17,9999-12-31,24.16
CPIAUCSL,1948-12-01,1994-02-17,9999-12-31,24.05
CPIAUCSL,1949-01-01,1994-02-17,9999-12-31,24.01
CPIAUCSL,1949-02-01,1994-02-17,9999-12-31,23.91
CPIAUCSL,1949-03-01,1994-02-17,9999-12-31,23.91
CPIAUCSL,1949-04-01,1994-02-17,9999-12-31,23.92
CPIAUCSL,1949-05-01,1994-02-17,9999-12-31,23.91
CPIAUCSL,1949-06-01,1994-02-17,9999-12-31,23.92
CPIAUCSL,1949-07-01,1994-02-17,9999-12-31,23.7
CPIAUCSL,1949-08-01,1994-02-17,9999-12-31,23.7
CPIAUCSL,1949-09-01,1994-02-17,9999-12-31,23.75
CPIAUCSL,1949-10-01,1994-02-17,9999-12-31,23.67
CPIAUCSL,1949-11-01,1994-02-17,9999-12-31,23.7
CPIAUCSL,1949-12-01,1994-02-17,9999-12-31,23.61
CPIAUCSL,1950-01-01,1994-02-17,9999-12-31,23.51
CPIAUCSL,1950-02-01,1994-02-17,9999-12-31,23.61
CPIAUCSL,1950-03-01,1994-02-17,9999-12-31,23.64
CPIAUCSL,1950-04-01,1994-02-17,9999-12-31,23.65
CPIAUCSL,1950-05-01,1994-02-17,9999-12-31,23.77
CPIAUCSL,1950-06-01,1994-02-17,9999-12-31,23.88
CPIAUCSL,1950-07-01,1994-02-17,9999-12-31,24.07
CPIAUCSL,1950-08-01,1994-02-17,9999-12-31,24.2
CPIAUCSL,1950-09-01,1994-02-17,9999-12-31,24.34
CPIAUCSL,1950-10-01,1994-02-17,9999-12-31,24.5
CPIAUCSL,1950-11-01,1994-02-17,9999-12-31,24.6
CPIAUCSL,1950-12-01,1994-02-17,9999-12-31,24.98
CPIAUCSL,1951-01-01,1994-02-17,9999-12-31,25.38
CPIAUCSL,1951-02-01,1994-02-17,9999-12-31,25.83
CPIAUCSL,1951-03-01,1994-02-17,9999-12-31,25.88
CPIAUCSL,1951-04-01,1994-02-17,9999-12-31,25.92
CPIAUCSL,1951-05-01,1994-02-17,9999-12-31,25.99
CPIAUCSL,1951-06-01,1994-02-17,9999-12-31,25.93
CPIAUCSL,1951-07-01,1994-02-17,9999-12-31,25.91
CPIAUCSL,1951-08-01,1994-02-17,9999-12-31,25.86
CPIAUCSL,1951-09-01,1994-02-17,9999-12-31,26.03
CPIAUCSL,1951-10-01,1994-02-17,9999-12-31,26.16
CPIAUCSL,1951-11-01,1994-02-17,9999-12-31,26.32
CPIAUCSL,1951-12-01,1994-02-17,9999-12-31,26.47
CPIAUCSL,1952-01-01,1994-02-17,9999-12-31,26.45
