SeriesID,ObservationDate,RealtimeStart,RealtimeEnd,Value
GDPC1,1947-01-01,1992-12-22,1996-01-18,1239.5
GDPC1,1947-01-01,1997-05-07,1999-10-27,1402.5
GDPC1,1947-01-01,2000-04-27,2003-12-09,1481.7
GDPC1,1947-01-01,2003-12-10,2009-07-30,1570.5
GDPC1,1947-01-01,2009-07-31,2011-07-28,1772.2
GDPC1,1947-01-01,2011-07-29,2013-07-30,1770.7
GDPC1,1947-01-01,2013-07-31,2014-07-29,1932.6
GDPC1,1947-01-01,2014-07-30,2017-10-26,1934.5
GDPC1,1947-01-01,2017-10-27,2018-07-26,1934.471
GDPC1,1947-01-01,2018-07-27,2021-07-28,2033.061
GDPC1,1947-01-01,2021-07-29,2023-09-27,2034.45
GDPC1,1947-01-01,2023-09-28,9999-12-31,2182.681
GDPC1,1947-04-01,1992-12-22,1996-01-18,1247.2
GDPC1,1947-04-01,1997-05-07,1999-10-27,1424.6
GDPC1,1947-04-01,2000-04-27,2003-12-09,1489.4
GDPC1,1947-04-01,2003-12-10,2009-07-30,1568.7
GDPC1,1947-04-01,2009-07-31,2011-07-28,1769.5
GDPC1,1947-04-01,2011-07-29,2013-07-30,1768
GDPC1,1947-04-01,2013-07-31,2014-07-29,1930.4
GDPC1,1947-04-01,2014-07-30,2017-10-26,1932.3
GDPC1,1947-04-01,2017-10-27,2018-07-26,1932.281
GDPC1,1947-04-01,2018-07-27,2021-07-28,2027.639
GDPC1,1947-04-01,2021-07-29,2023-09-27,2029.024
GDPC1,1947-04-01,2023-09-28,9999-12-31,2176.892
GDPC1,1947-07-01,1992-12-22,1996-01-18,1255
GDPC1,1947-07-01,1997-05-07,1999-10-27,1437.5
GDPC1,1947-07-01,2000-04-27,2003-12-09,1493.1
GDPC1,1947-07-01,2003-12-10,2009-07-30,1568
GDPC1,1947-07-01,2009-07-31,2011-07-28,1768
GDPC1,1947-07-01,2011-07-29,2013-07-30,1766.5
GDPC1,1947-07-01,2013-07-31,2014-07-29,1928.4
GDPC1,1947-07-01,2014-07-30,2017-10-26,1930.3
GDPC1,1947-07-01,2017-10-27,2018-07-26,1930.315
GDPC1,1947-07-01,2018-07-27,2021-07-28,2023.452
GDPC1,1947-07-01,2021-07-29,2023-09-27,2024.834
GDPC1,1947-07-01,2023-09-28,9999-12-31,2172.432
