CandidateBreakDate,PreObservations,PostObservations,WaldFStatistic,NaivePointwisePValue,IsMaximum,Within95PercentOfMaximum,ExPostOnly,SupWaldGlobalBootstrapPValue,BreakDateUncertaintyStart,BreakDateUncertaintyEnd,TrimFraction,MinimumRegimeObservations,BootstrapBlockLength
1971-01-01,40,222,0.901959584684848,0.557378588097761,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1971-04-01,41,221,1.13281013578105,0.329877860915574,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1971-07-01,42,220,1.1597101273812,0.307579261107121,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1971-10-01,43,219,1.11089572249419,0.348793222420249,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1972-01-01,44,218,1.11841011751813,0.342232401055342,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1972-04-01,45,217,1.28415907709288,0.217932689106049,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1972-07-01,46,216,1.31864847485857,0.196978058559329,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1972-10-01,47,215,1.36728407809558,0.170158695967248,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1973-01-01,48,214,1.43184127925159,0.139209582517918,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1973-04-01,49,213,1.4884146356606,0.116092091877756,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1973-07-01,50,212,1.48025356406264,0.119210726923387,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1973-10-01,51,211,1.49525932673541,0.113530499410084,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1974-01-01,52,210,1.53205620679416,0.100575509217248,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1974-04-01,53,209,1.585121222603,0.0841595288546156,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1974-07-01,54,208,1.56782811120101,0.0892304009827392,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1974-10-01,55,207,1.6768395607624,0.0612975051663456,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1975-01-01,56,206,1.61860659145369,0.0750582004509035,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1975-04-01,57,205,1.75590969343197,0.0462524273024153,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1975-07-01,58,204,1.70969723500649,0.054576543372721,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1975-10-01,59,203,1.71983646791226,0.0526416020210748,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1976-01-01,60,202,1.7941997562655,0.0402525521468348,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1976-04-01,61,201,1.9660770506344,0.0211802205176587,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1976-07-01,62,200,1.96930263759646,0.0209209741329397,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1976-10-01,63,199,1.96477860427372,0.0212854287513917,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1977-01-01,64,198,1.96432190605673,0.0213225498672739,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1977-04-01,65,197,1.96719066036253,0.0210903783325674,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1977-07-01,66,196,2.05251332374443,0.0151801680092835,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1977-10-01,67,195,2.08819502560859,0.0132066648429839,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1978-01-01,68,194,2.17166485296979,0.00949908049076476,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1978-04-01,69,193,2.1576685585224,0.0100422526642998,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1978-07-01,70,192,2.86494060523297,0.000528608521930485,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1978-10-01,71,191,2.96188810294589,0.000347497271903419,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1979-01-01,72,190,2.89832523930584,0.000457653162974969,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1979-04-01,73,189,2.96107764305013,0.000348722013814418,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1979-07-01,74,188,2.9641869394875,0.000344046348668803,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1979-10-01,75,187,3.05679999287969,0.000229867817690521,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1980-01-01,76,186,3.07024412895781,0.000216757387436095,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1980-04-01,77,185,2.99356149107694,0.000302813490582365,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1980-07-01,78,184,3.5402579355699,2.71766764333714e-05,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1980-10-01,79,183,3.54480146042596,2.66318664744469e-05,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1981-01-01,80,182,3.85205408289185,6.73503656090091e-06,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1981-04-01,81,181,3.69343199548751,1.37120947489855e-05,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1981-07-01,82,180,3.83182193538594,7.37522334270935e-06,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1981-10-01,83,179,3.83659088828974,7.21906746092849e-06,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1982-01-01,84,178,4.20543017920477,1.3734071330207e-06,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1982-04-01,85,177,4.10344884335993,2.17449214490184e-06,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1982-07-01,86,176,4.12327841704563,1.98869612733077e-06,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1982-10-01,87,175,4.52836315997857,3.2003558125826e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1983-01-01,88,174,4.51312035591615,3.42820477006178e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1983-04-01,89,173,4.55309544363384,2.86243377556339e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1983-07-01,90,172,4.70087284192649,1.46962697677999e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1983-10-01,91,171,4.68073908493261,1.6093373544912e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1984-01-01,92,170,4.72128284792004,1.3403829068892e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1984-04-01,93,169,4.65562579228114,1.80237440416953e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1984-07-01,94,168,4.65828367967589,1.78089344271548e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
1984-10-01,95,167,4.67324458466211,1.66467217121991e-07,0,0,1,0.004,2014-07-01,2016-07-01,0.15,40,4
