ForecastModel,ForecastStart,ForecastEnd,Metric,Estimate,Lower,Upper,ConfidenceLevel,Replications,ValidReplications,BlockLength,Seed,MetricMeaningful
Nested selected,2016-01-01,2018-10-01,MeanError,0.0969097281913412,-0.403683829962854,0.682903860156413,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,RMSE,0.917404558186646,0.718365090105897,1.06766438316903,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,MAE,0.750647665066831,0.62064839285331,0.877085305175177,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,MedianAbsoluteError,0.580030229830235,0.50173542009107,0.831255243825375,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,MASE,0.454705524808224,0.375667583123767,0.530188191902908,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,HuberLoss,0.154829438249151,0.0954134494585169,0.216930476911706,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,Correlation,0.45157956145629,0.222901686009035,0.642983114229055,0.95,2000,2000,4,2505,1
Nested selected,2016-01-01,2018-10-01,SignAccuracyPercent,100,100,100,0.95,2000,2000,4,2505,0
Persistence,2016-01-01,2018-10-01,MeanError,0.155592320544739,-0.0587973789808586,0.350979820925349,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,RMSE,1.05220534083249,0.852660653589821,1.27680575609726,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,MAE,0.888634154471529,0.688876014376874,1.18369308320448,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,MedianAbsoluteError,0.779549105264304,0.42284204808074,1.16444118216335,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,MASE,0.541567759220144,0.427154633208604,0.715072262304088,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,HuberLoss,0.205715760149696,0.137848809345604,0.296170376800483,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,Correlation,0.509326998846633,-0.109418890739104,0.765571448658207,0.95,2000,2000,4,2505,1
Persistence,2016-01-01,2018-10-01,SignAccuracyPercent,100,100,100,0.95,2000,2000,4,2505,0
V1 fixed historical OLS,2016-01-01,2018-10-01,MeanError,-0.892040307147593,-1.41724563728352,-0.264661626573239,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,RMSE,1.42358847307486,0.763395756710575,1.78959542254931,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,MAE,1.12851075140545,0.655737549722421,1.5423426630167,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,MedianAbsoluteError,0.77196714174558,0.48950996255398,1.8443118040514,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,MASE,0.679456998651656,0.406276919744887,0.918926881465424,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,HuberLoss,0.357822207450372,0.111364352337169,0.561684987016308,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,Correlation,-0.197892540632793,-0.673612157023169,0.134035657199539,0.95,2000,2000,4,2505,1
V1 fixed historical OLS,2016-01-01,2018-10-01,SignAccuracyPercent,100,100,100,0.95,2000,2000,4,2505,0
V1 expanding OLS,2016-01-01,2018-10-01,MeanError,-0.824852895929304,-1.36643929632291,-0.174782595297629,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,RMSE,1.40554837592026,0.747384956354503,1.76511402321644,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,MAE,1.10139828591655,0.615885336719544,1.52751002366821,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,MedianAbsoluteError,0.78879972574431,0.502206150267865,1.82810816666577,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,MASE,0.66304959535762,0.382556750414869,0.911714397008302,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,HuberLoss,0.349304255256976,0.107641125319243,0.547979459694289,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,Correlation,-0.280903084130282,-0.72542375219128,0.0836781030299655,0.95,2000,2000,4,2505,1
V1 expanding OLS,2016-01-01,2018-10-01,SignAccuracyPercent,100,100,100,0.95,2000,2000,4,2505,0
