TargetQuarter,ForecastOrigin,SelectedModel,SelectedFamily,SelectedARLag,SelectedRidgeLambda,InnerValidationRMSE,InnerValidationMAE,OuterTrainingObservations,LatestPredictorAvailabilityDate
2016-01-01,2016-02-14,Historical mean,HistoricalMean,NaN,NaN,1.20556454520965,1.03875075342757,60,2016-01-29
2016-04-01,2016-05-15,Historical mean,HistoricalMean,NaN,NaN,1.27724935752222,1.13049866924426,61,2016-04-28
2016-07-01,2016-08-14,Historical mean,HistoricalMean,NaN,NaN,1.29388568901931,1.16550539425702,62,2016-07-29
2016-10-01,2016-11-14,Historical mean,HistoricalMean,NaN,NaN,1.29838375574621,1.17281427540057,63,2016-10-28
2017-01-01,2017-02-14,Historical mean,HistoricalMean,NaN,NaN,1.25928947130438,1.095014931948,64,2017-02-13
2017-04-01,2017-05-15,Historical mean,HistoricalMean,NaN,NaN,1.18654162334127,1.04139680819455,65,2017-04-28
2017-07-01,2017-08-14,AR(2),AR,2,NaN,1.03553126609258,0.904695153239507,66,2017-07-28
2017-10-01,2017-11-14,Historical mean,HistoricalMean,NaN,NaN,1.03090619068946,0.894121417236211,67,2017-10-27
2018-01-01,2018-02-14,Historical mean,HistoricalMean,NaN,NaN,1.03069064983438,0.89367213439221,68,2018-02-14
2018-04-01,2018-05-15,AR(1),AR,1,NaN,0.853467697641858,0.740465442074794,69,2018-04-27
2018-07-01,2018-08-14,AR(2),AR,2,NaN,0.958698263192483,0.814351265498635,70,2018-07-27
2018-10-01,2018-11-14,AR(2),AR,2,NaN,0.943029627384528,0.791406057403438,71,2018-10-26
